batch,person,level,Timestep,ipscore,Weight,Amp,Att_feats,norm,choosed
0,1,1,19,-0.00016355481,0.21962336,-0.02302675,0.0149832275,0.5354127,Yes
0,1,1,20,-0.00042706903,0.21986154,-0.06610686,0.12797916,0.48085222,Yes
0,1,1,21,0.00018702842,0.22040746,0.027516076,0.11235744,0.44689736,Yes
0,1,1,22,-0.0004923215,0.22008158,-0.06996237,0.08015069,0.40686047,Yes
0,1,1,23,4.4668996e-05,0.2209629,0.007217373,0.05395046,0.40384188,Yes
0,1,1,24,-0.00020771856,0.2212425,-0.031810153,0.06683184,0.37714046,Yes
0,1,2,0,-5.656162e-05,0.22569443,-0.0067878673,0.089966625,0.51801354,No
0,1,2,1,0.00027321227,0.22266468,0.032403495,0.09350379,0.8343933,No
0,1,2,2,-2.8954331e-05,0.22059084,-0.0034464793,0.099039845,0.1868514,No
0,1,2,3,5.9076167e-05,0.2194261,0.006755609,0.090320274,0.14196165,No
0,1,2,4,-1.7094624e-05,0.2181333,-0.0019705743,0.06541525,0.14087081,No
0,1,2,5,6.740607e-06,0.21813376,0.00069185515,0.06032996,0.1992935,No
0,1,2,6,-0.00030305565,0.2178603,-0.03264437,0.05366148,0.3214301,No
0,1,2,7,-0.00020591234,0.21729814,-0.020774791,0.065191865,0.30786386,No
0,1,2,8,-0.0002722,0.21645229,-0.027957851,0.0047961646,0.43667156,No
0,1,2,9,-7.448625e-05,0.21534653,-0.0074510965,0.1501282,0.5089646,No
0,1,2,10,-0.00010535461,0.21533903,-0.009868922,0.061656486,0.53708786,No
0,1,2,11,0.002253401,0.21344781,0.23100354,0.1524227,0.66566545,No
0,1,2,12,0.000536069,0.21364672,0.051486537,0.117981404,0.71322465,No
0,1,2,13,-3.5393183e-05,0.21240032,-0.0032848062,0.004829502,0.7889686,No
0,1,2,14,-0.000252164,0.21187145,-0.02367497,0.10057855,0.86021316,No
0,1,2,15,0.00023392605,0.21197455,0.021289773,0.10380921,0.9921724,No
0,1,2,16,-0.00024337243,0.2111062,-0.02129977,0.063954756,1.081775,No
0,1,2,17,0.0021957667,0.20993432,0.19956507,0.23693585,1.3079457,No
0,1,2,18,-0.00021439104,0.20969339,-0.019015506,0.10149033,1.3992991,No
0,1,2,19,-0.0002629941,0.2092945,-0.02302675,0.016351648,1.4839252,No
0,1,2,20,-0.0007374894,0.20944138,-0.06610686,0.12765263,1.7523323,No
0,1,2,21,0.000325431,0.20869942,0.027516076,0.11408709,1.819209,No
0,1,2,22,-0.00082769926,0.20794,-0.06996237,0.08075196,2.0478442,No
0,1,2,23,8.419426e-05,0.20755409,0.007217373,0.05557328,2.3356314,No
0,1,2,24,-0.00038181958,0.20779051,-0.031810153,0.067464516,2.365178,No
0,2,0,0,4.8968053e-05,0.14536108,-0.0067878673,0.06886503,0.24234304,No
0,2,0,1,-0.00033184205,0.14220491,0.032403495,0.07003793,0.783577,No
0,2,0,2,-1.7772705e-05,0.14249119,-0.0034464793,0.07569293,0.14902692,No
0,2,0,3,-6.992356e-05,0.14319102,0.006755609,0.0662072,0.12364909,Yes
0,2,0,4,1.903155e-05,0.14291444,-0.0019705743,0.04296028,0.18489616,Yes
0,2,0,5,-2.9097712e-06,0.14212105,0.00069185515,0.0353175,0.24199075,No
0,2,0,6,9.251089e-05,0.14130229,-0.03264437,0.028691515,0.29273942,Yes
0,2,0,7,0.00029560277,0.14081196,-0.020774791,0.04111462,0.3646915,Yes
0,2,0,8,0.00055744254,0.14035842,-0.027957851,-0.0190659,0.40366918,Yes
0,2,0,9,-4.665269e-06,0.14012633,-0.0074510965,0.12600204,0.46443608,Yes
0,2,0,10,0.00013993659,0.13924794,-0.009868922,0.037110243,0.47625116,Yes
0,2,0,11,0.0045585884,0.13786615,0.23100354,0.12779954,0.5078669,Yes
0,2,0,12,0.00010009632,0.13838914,0.051486537,0.09388383,0.48412564,Yes
0,2,0,13,7.097037e-05,0.137717,-0.0032848062,-0.018822595,0.485286,Yes
0,2,0,14,0.00013172519,0.13678308,-0.02367497,0.07734979,0.47741285,Yes
0,2,0,15,-1.0671229e-05,0.13665496,0.021289773,0.079918645,0.45999357,Yes
